date,year,month,ppi_value,series_id,industry,product,source,country_code,base_year
1985-06-01,1985,6,261809.0,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-07-01,1985,7,259434.6,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-08-01,1985,8,259434.6,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-09-01,1985,9,259450.75,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-10-01,1985,10,259466.9,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-11-01,1985,11,259483.05,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1985-12-01,1985,12,259499.2,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-01-01,1986,1,259515.35,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-02-01,1986,2,259531.5,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-03-01,1986,3,259531.5,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-04-01,1986,4,259531.5,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-05-01,1986,5,259531.5,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-06-01,1986,6,261059.1,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-07-01,1986,7,262586.7,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-08-01,1986,8,262586.7,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-09-01,1986,9,251398.7,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-10-01,1986,10,251398.7,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-11-01,1986,11,251398.7,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1986-12-01,1986,12,251569.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-01-01,1987,1,250842.1,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-02-01,1987,2,238641.3,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-03-01,1987,3,240251.0,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
