hts8,brief_description,mfn_text_rate_pct,how_measured
85299077,"Parts of printed circuit assemblies (including face plates and lock latches) for other apparatus of headings 8524 to 8528, nesoi",0.0,NO
85312000,Indicator panels incorporating liquid crystal devices (LCD's) or light emitting diodes (LED's),0.0,NO
85319015,Printed circuit assemblies of the panels of subheading 8531.20,0.0,NO
85319030,"Printed circuit assemblies of electric sound or visual signaling apparatus, nesoi",0.0,NO
85319075,"Parts of the panels of subheading 8531.20, other than printed circuit assemblies",0.0,NO
85321000,Fixed electrical capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar,0.0,NO
85322100,Tantalum fixed capacitors,0.0,NO
85322200,Aluminum electrolytic fixed capacitors,0.0,NO
85322300,"Ceramic dielectric fixed capacitors, single layer",0.0,NO
85322400,"Ceramic dielectric fixed capacitors, multilayer",0.0,NO
85322500,Dielectric fixed capacitors of paper or plastics,0.0,NO
85322900,"Fixed electrical capacitors, nesoi",0.0,NO
85323000,Variable or adjustable (pre-set) electrical capacitors,0.0,NO
85329000,"Parts of electrical capacitors, fixed, variable or adjustable (pre-set)",0.0,NO
85331000,"Electrical fixed carbon resistors, composition or film types",0.0,NO
85332100,"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity not exceeding 20 W",0.0,NO
85332900,"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity exceeding 20 W",0.0,NO
85333100,"Electrical wirewound variable resistors, including rheostats and potentiometers, for a power handling capacity not exceeding 20 W",0.0,NO
85333900,"Electrical wirewound variable resistors, including rheostats and potentiometers, for a power handling capacity exceeding 20 W",0.0,NO
85334040,Metal oxide resistors,0.0,NO
85334080,"Electrical variable resistors, other than wirewound, including rheostats and potentiometers",0.0,NO
85339080,"Other parts of electrical resistors, including rheostats and potentiometers, nesoi",0.0,NO
85364100,"Relays for switching, protecting or making connections to or in electrical circuits, for a voltage not exceeding 60 V",2.7,NO
85364900,"Relays for switching, protecting or making connections to or in electrical circuits, for a voltage exceeding 60 but not exceeding 1,000 V",2.7,NO
85366940,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V",0.0,NO
85367000,"Connectors for optical fibers, optical fiber bundles or cables",0.0,NO
85389010,Printed circuit assemblies of an article of heading 8537 for one of the articles described in additional U.S. note 12 to chapter 85,0.0,NO
85389030,"Printed circuit assemblies, suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, nesoi",3.5,NO
85395100,Light-emitting diode (LED) modules,0.0,NO
85395200,Light-emitting diode (LED) lamps,2.0,NO
85411000,"Diodes, other than photosensitive or light-emitting diodes",0.0,NO
85412100,"Transistors, other than photosensitive transistors, with a dissipation rating of less than 1 W",0.0,NO
85412900,"Transistors, other than photosensitive transistors, with a dissipation rating of 1 W or more",0.0,NO
85413000,"Thyristors, diacs and triacs, other than photosensitive devices",0.0,NO
85414100,Light-emitting diodes,0.0,NO
85414910,"Other photosensitive semiconductor diodes, other than light-emitting",0.0,NO
85414970,Other photosensitive semiconductor transistors,0.0,NO
85414995,"Other photosensitive semiconductor devices, other than diodes or transistors, nesoi",0.0,NO
85415100,"Other semiconductor-based transducers, other than photosensitive transducers",0.0,NO
85415900,"Other semiconductor devices, other than semiconductor-based transducers, other than photosensitive devices, nesoi",0.0,NO
85416000,Mounted piezoelectric crystals,0.0,NO
85419000,"Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals",0.0,NO
85423100,Electronic integrated circuits: processors and controllers,0.0,NO
85423200,Electronic integrated circuits: memories,0.0,NO
85423900,Electronic integrated circuits: other,0.0,NO
85429000,Parts of electronic integrated circuits and microassemblies,0.0,NO
85437045,Other electric synchros and transducers; defrosters and demisters with electric resistors for aircraft,2.6,NO
85439015,"Assemblies and subassemblies for flight data recorders, consisting of 2 or more parts pieces fastened together, printed circuit assemblies",0.0,NO
85439035,"Assemblies and subassemblies for flight data recorders, consisting of 2 or more parts pieces fastened together, not printed circuit assys.",0.0,NO
85439068,"Printed circuit assemblies of electrical machines and apparatus, having individual functions, nesoi",0.0,NO
85439088,"Parts (other than printed circuit assemblies) of electrical machines and apparatus, having individual functions, nesoi",0.0,NO
85444210,"Insulated electric conductors nesoi, for a voltage not exceeding 1,000 V, fitted with modular telephone connectors",0.0,NO
85444220,"Insulated electric conductors nesoi, used for telecommuncations, for  a voltage not exceeding 1,000 V, fitted with connectors",0.0,NO
85444290,"Insulated electric conductors nesoi, for a voltage not exceeding 1,000 V, fitted with connectors, nesoi",2.6,NO
85444910,"Insulated electric conductors of a kind used for telecommunications, for a voltage not exceeding 80 V, not fitted with connectors",0.0,KG
85444920,"Insulated electric conductors nesoi, for a voltage not exceeding 80 V, not fitted with connectors",3.5,KG
85444930,"Insulated electric conductors nesoi, of copper, for a voltage not exceeding 1,000 V, not fitted with connectors",5.3,KG
85444990,"Insulated electric conductors nesoi, not of copper, for a voltage not exceeding 1,000 V, not fitted with connectors",3.9,KG
85446020,"Insulated electric conductors nesoi, for a voltage exceeding 1,000 V, fitted with connectors",3.7,NO
85446040,"Insulated electric conductors nesoi, of copper, for a voltage exceeding 1,000 V, not fitted with connectors",3.5,KG
85446060,"Insulated electric conductors nesoi, not of copper, for a voltage exceeding 1,000 V, not fitted with connectors",3.2,KG
90132000,"Lasers, other than laser diodes",0.0,NO
90139080,"Parts and accessories of liquid crystal devices nesoi, and optical appliances and instruments, nesoi",4.5,NO
90181160,Printed circuit assemblies for electrocardiographs,0.0,NO
90181190,"Parts and accessories of electrocardiographs, other than printed circuit assemblies",0.0,NO
90181975,Printed circuit assemblies for electro-diagnostic parameter acquisition modules,0.0,NO
90189068,Printed circuit assemblies for defibrillators,0.0,NO
90279045,Printed circuit assemblies for instruments and apparatus of subheading 9027.80,0.0,NO
90308200,"Instruments and apparatus for measuring or checking electrical quantities, nesoi: for measuring or checking semiconductor wafers or devices",0.0,NO
90309025,Printed circuit assemblies for instruments and apparatus for measuring or detecting ionizing radiation,0.0,NO
90309066,Printed circuit assemblies for subheadings and apparatus of 9030.40 & 9030.82,0.0,NO
90309068,"Printed circuit assemblies, NESOI",0.0,NO
90309084,"Parts and accessories for instruments and apparatus for measuring or checking semiconductor wafers or devices, nesoi",0.0,KG
90314100,Optical measuring/checking instruments/appliances for inspecting semiconductor wafers/devices or photomasks/reticle used to mfg such devices,0.0,NO
90314970,Optical instrument & appliance: to inspect masks (not photomask) used to mfg semiconductor devices; to measure contamination on such devices,0.0,NO
90318040,Electron beam microscopes fitted with equipment specifically designed for the handling and transport of semiconductor devices or reticles,0.0,NO
90330020,LEDs for backlighting of LCDs,0.0,NO
